0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:51,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:02:52,"14,238.90",
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
0,2021-01-25 23:03:46,"14,238.90"
